"(-39.249501333333335, -180.22153766666665)","[2, 16]"
"(-36.249501333333335, -178.22153766666665)","[3, 15]"
"(-39.58283466666666, -181.22153766666665)","[0, 8]"
"(-36.58283466666666, -179.22153766666665)","[1, 4]"
"(-29.253286333333335, -179.888479)","[3, 5, 12]"
"(-28.586619666666667, -184.55514566666662)","[4, 9]"
"(-47.00775033333333, -196.18954966666664)","[7, 1455, 1711]"
"(-44.11340833333333, -191.4642386666667)","[6, 8, 11]"
"(-39.723677333333335, -187.352992)","[2, 7, 9]"
"(-37.05701066666666, -190.68632533333334)","[5, 8]"
"(-48.97256566666667, -186.3327843333333)","[11, 19]"
"(-44.97256566666667, -185.66611766666665)","[7, 10]"
"(-27.919953000000003, -178.55514566666662)","[4, 14]"
"(-11.471813, -172.31968700000002)","[14, 40]"
"(-20.471813, -172.98635366666667)","[12, 13, 33]"
"(-37.58283466666666, -177.8882043333333)","[1, 17]"
"(-40.58283466666666, -179.8882043333333)","[0, 18]"
"(-37.249501333333335, -176.8882043333333)","[15, 21]"
"(-40.249501333333335, -178.8882043333333)","[16, 20]"
"(-45.916168, -181.8882043333333)","[10, 20]"
"(-44.58283466666666, -180.55487099999996)","[18, 19, 21]"
"(-42.58283466666666, -179.22153766666665)","[17, 20, 25]"
"(-58.58283466666666, -175.8882043333333)",[23]
"(-51.934500333333325, -165.88814833333333)","[22, 24, 45]"
"(-42.934500333333325, -159.22148166666665)","[23, 25]"
"(-41.916168, -168.88820433333333)","[21, 24, 35]"
"(-17.691875999999997, -150.08892333333333)",[27]
"(-22.582834666666667, -147.22153766666665)","[26, 28, 31]"
"(-24.24950133333333, -142.88820433333333)","[27, 29]"
"(-15.916167999999999, -142.22153766666665)","[28, 30, 985]"
"(-13.916832333333332, -135.88840266666668)","[29, 71]"
"(-29.24950133333333, -146.554871)","[27, 32]"
"(-24.582834666666667, -151.22153766666665)","[31, 35]"
"(-21.134694666666665, -164.986079)","[14, 34]"
"(-28.916168, -169.554871)","[33, 35]"
"(-29.916168, -159.554871)","[25, 32, 34]"
"(-5.582834666666667, -152.22153766666665)","[37, 1012]"
"(-9.916168, -150.22153766666665)","[36, 986]"
"(4.778925, -156.32634499999998)","[39, 56]"
"(0.7789249999999995, -163.99301166666666)","[38, 40]"
"(-6.8013613333333325, -163.65274566666668)","[13, 39, 1012]"
"(-81.41651666666667, -131.06247966666666)","[42, 103]"
"(-79.41653433333333, -137.729177)","[41, 43, 44]"
"(-80.74986766666667, -141.06251033333334)",[42]
"(-76.24950133333333, -136.22153766666665)","[42, 47]"
"(-52.601167, -145.554815)","[23, 46, 49]"
"(-64.58283466666667, -146.554871)","[45, 47, 48]"
"(-68.916168, -133.554871)","[44, 46, 122]"
"(-69.58283733333333, -158.22153766666665)","[46, 4045]"
"(-48.256903333333334, -132.90071633333332)",[45]
"(9.716288333333333, -125.22620433333334)","[51, 64]"
"(10.716288333333333, -123.55953766666666)",[50]
"(44.988889, -135.49702466666668)","[53, 90, 1112]"
"(42.93253466666667, -132.477397)","[52, 55]"
"(31.593130333333335, -134.04929866666666)","[55, 1010]"
"(37.259797, -125.04929866666667)","[53, 54]"
"(9.597621333333334, -158.18298333333334)","[38, 57, 1110]"
"(14.569195, -155.078176)","[56, 1011]"
"(7.417165333333333, -128.554871)",[59]
"(6.417165333333333, -129.554871)","[58, 73]"
"(-14.916168, -109.88820433333335)",[61]
"(-14.249501333333335, -111.554871)","[60, 70]"
"(-15.916167999999999, -116.22153766666668)",[63]
"(-13.916167999999999, -119.554871)","[62, 69]"
"(8.716288333333333, -124.892871)","[50, 68]"
"(3.0496216666666665, -110.892871)","[66, 70]"
"(-4.916168000000001, -105.22153766666668)","[65, 142]"
"(1.739543666666667, -135.20607033333332)",[73]
"(2.0496216666666665, -124.892871)","[64, 69, 72]"
"(-4.950378333333334, -120.892871)","[63, 68, 70]"
"(-5.617045, -115.22620433333333)","[61, 65, 69]"
"(-9.250165666666668, -131.88840266666665)","[30, 72]"
"(-3.2495013333333334, -130.88820433333333)","[68, 71, 73]"
"(2.083832, -132.88820433333333)","[59, 67, 72]"
"(68.41716533333333, -115.22153766666668)",[75]
"(69.083832, -117.88820433333335)","[74, 76, 86]"
"(73.41667966666667, -117.222102)","[75, 995]"
"(41.416602000000005, -95.22205366666667)","[78, 189]"
"(44.416602000000005, -99.555387)","[77, 79]"
"(42.08326866666667, -105.88872033333332)","[78, 80, 93]"
"(36.416602000000005, -107.22205366666667)","[79, 89]"
"(29.417165333333333, -99.554871)","[82, 85]"
"(30.417165333333333, -98.22153766666668)","[81, 96]"
"(27.104038, -106.83579266666668)","[84, 1010]"
"(22.059409666666667, -104.31249766666667)","[83, 85]"
"(23.699799333333335, -99.60347766666666)","[81, 84, 139]"
"(65.75049866666667, -118.554871)","[75, 87]"
"(63.750498666666665, -122.22153766666668)","[86, 88]"
"(58.750498666666665, -122.554871)","[87, 91, 97]"
"(33.416602000000005, -101.555387)","[80, 96]"
"(50.14018633333333, -129.24116533333333)","[52, 91]"
"(54.47351966666667, -128.57449866666667)","[88, 90]"
"(46.750498666666665, -120.88820433333335)",[93]
"(48.750498666666665, -114.22153766666668)","[79, 92, 94]"
"(54.083832, -112.22153766666668)","[93, 95]"
"(57.083832, -116.554871)","[94, 97]"
"(32.08326866666667, -98.22205366666667)","[82, 89]"
"(56.41716533333334, -120.554871)","[88, 95]"
"(-93.91616800000001, -95.22153766666668)",[99]
"(-95.24950133333334, -97.22153766666668)","[98, 101]"
"(-99.249476, -103.612666)","[102, 108]"
"(-93.24950133333334, -98.22153766666668)","[99, 109]"
"(-104.05384566666667, -101.536494)","[100, 105]"
"(-88.354594, -126.08144366666666)","[41, 104]"
"(-89.187561, -121.240471)","[103, 106]"
"(-106.38704933333334, -93.14529166666667)","[102, 110]"
"(-91.520912, -115.24050166666666)","[104, 107]"
"(-95.52088666666667, -112.63162999999999)","[106, 108, 1879]"
"(-95.249476, -107.27933266666668)","[100, 107, 109]"
"(-91.58283466666667, -103.22153766666668)","[101, 108, 128]"
"(-113.05371600000001, -88.14529166666667)","[105, 111]"
"(-113.58267966666665, -82.55479700000001)","[110, 115]"
"(-125.91616800000001, -69.88820433333335)","[113, 240]"
"(-120.91616800000001, -70.554871)","[112, 114]"
"(-118.24950133333334, -74.88820433333335)","[113, 115]"
"(-119.58283466666667, -80.22153766666668)","[111, 114]"
"(-83.58283466666667, -112.88820433333335)","[117, 126]"
"(-80.58283466666667, -112.22153766666668)","[116, 118]"
"(-81.24950133333333, -115.88820433333335)","[117, 119]"
"(-78.24950133333333, -119.88820433333335)","[118, 120]"
"(-73.24950133333333, -114.88820433333335)","[119, 121, 123]"
"(-67.58283466666667, -116.22153766666668)","[120, 122]"
"(-63.916168, -121.88820433333335)","[47, 121]"
"(-72.916168, -108.22153766666668)","[120, 131]"
"(-81.24957, -90.55482266666667)",[125]
"(-79.58290333333333, -96.55482266666667)","[124, 130, 134]"
"(-81.58283466666667, -110.554871)","[116, 127]"
"(-84.58283466666667, -110.88820433333335)","[126, 128]"
"(-85.91616800000001, -105.88820433333335)","[109, 127, 129]"
"(-83.916168, -99.554871)","[128, 130]"
"(-79.916168, -102.554871)","[125, 129]"
"(-69.58283466666667, -105.554871)","[123, 133]"
"(-69.24956999999999, -90.55482266666667)","[135, 166]"
"(-73.58283466666667, -105.554871)","[131, 134]"
"(-74.58290333333333, -99.888156)","[125, 133, 135]"
"(-69.24956999999999, -97.22148933333334)","[132, 134]"
"(-21.916168, -100.22153766666668)",[137]
"(-18.582834666666667, -102.554871)","[136, 138, 145]"
"(-17.916168, -105.88820433333335)",[137]
"(22.383888333333335, -94.29875700000001)","[85, 140]"
"(19.383888333333335, -89.29875700000001)","[139, 141, 992]"
"(15.366466, -94.27014433333333)","[140, 142]"
"(5.750498666666668, -96.22153766666668)","[66, 141, 143]"
"(-5.249501333333333, -93.88820433333335)","[142, 144, 145]"
"(4.417165333333334, -83.88820433333335)","[143, 174]"
"(-18.24950133333333, -99.554871)","[137, 143]"
"(120.41796366666667, -80.55593633333332)","[147, 998]"
"(111.40658833333333, -83.39209000000001)","[146, 148]"
"(109.073255, -83.72542333333332)","[147, 157]"
"(60.750498666666665, -72.554871)",[150]
"(60.083832, -77.22153766666668)","[149, 151, 156]"
"(57.41716533333334, -79.88820433333335)","[150, 152]"
"(55.750498666666665, -76.554871)","[151, 184]"
"(72.77786533333334, -79.82443533333334)",[154]
"(68.77786533333334, -83.15776866666666)","[153, 155, 161]"
"(63.750498666666665, -83.22153766666668)","[154, 156]"
"(63.41716533333334, -77.554871)","[150, 155]"
"(103.46552533333333, -87.32339233333335)","[148, 159]"
"(75.193578, -102.32706200000001)","[162, 996]"
"(99.46552533333333, -91.32339233333333)","[157, 160]"
"(94.14501466666667, -94.15085366666666)","[159, 993]"
"(68.21859233333333, -92.260979)","[154, 162]"
"(75.22094466666667, -94.59662633333335)","[158, 161]"
"(-64.08345533333333, -75.00668866666666)",[167]
"(-48.555005333333334, -83.715546)","[165, 180]"
"(-55.555005333333334, -88.38221266666666)","[164, 166]"
"(-60.221511666666665, -84.381643)","[132, 165, 168]"
"(-63.916168, -79.22153766666668)","[163, 168]"
"(-60.221511666666665, -77.381643)","[166, 167]"
"(-25.582834666666667, -95.554871)",[170]
"(-23.916168, -94.88820433333335)","[169, 179]"
"(-32.916168, -68.88820433333333)","[172, 178, 181]"
"(-18.24950133333333, -68.22153766666666)","[171, 173, 176]"
"(-5.249501333333333, -74.88820433333335)","[172, 174, 971]"
"(-14.249501333333333, -85.554871)","[144, 173, 179]"
"(-31.916168, -91.88820433333335)",[179]
"(-6.582834666666666, -55.888204333333334)","[172, 177]"
"(-15.916167999999999, -52.22153766666667)","[176, 261]"
"(-30.582834666666667, -59.22153766666667)",[171]
"(-28.24950133333333, -91.554871)","[170, 174, 175]"
"(-43.221511666666665, -81.04830966666667)","[164, 181]"
"(-42.221511666666665, -74.381643)","[171, 180]"
"(39.749564, -61.220979)",[183]
"(39.467448, -69.01031499999999)","[182, 188]"
"(52.74956266666667, -77.220978)","[152, 185]"
"(50.082896000000005, -80.88764466666667)","[184, 188]"
"(39.750498666666665, -87.554871)","[187, 189]"
"(36.468384, -81.344208)","[186, 188]"
"(43.13411466666667, -77.67698166666666)","[183, 185, 187]"
"(35.416602000000005, -90.88872033333332)","[77, 186]"
"(228.71336366666665, -14.401593666666665)","[1013, 1041, 1044]"
"(172.41819766666666, -40.889079)",[203]
"(191.0928243333333, -37.216858)","[193, 953]"
"(187.41819766666666, -39.55574566666667)","[192, 216]"
"(206.75845866666668, -30.21598333333333)",[1014]
"(154.41529366666668, -61.889908)","[196, 202]"
"(157.41716533333332, -57.22153766666667)","[195, 197]"
"(160.75049866666666, -57.554871)","[196, 201]"
"(131.75049866666666, -64.88820433333335)","[199, 209]"
"(128.083832, -64.22153766666668)","[198, 215]"
"(167.08397933333333, -51.22153133333333)","[201, 205]"
"(164.41731266666667, -55.22153133333333)","[197, 200]"
"(149.74862700000003, -61.889908)","[195, 206]"
"(173.08486433333334, -43.55574566666667)","[191, 204]"
"(175.41819766666666, -44.889079)","[203, 205, 217]"
"(173.08397933333333, -49.888197999999996)","[200, 204]"
"(144.08196033333334, -65.55657466666668)","[202, 207]"
"(143.41529366666668, -69.22324133333335)","[206, 208]"
"(139.99010233333334, -73.39684066666668)","[207, 210]"
"(131.08372, -68.55495466666667)","[198, 210]"
"(135.32332366666665, -72.063591)","[208, 209, 211]"
"(133.65745533333333, -76.06465633333333)","[210, 998, 1457]"
"(120.75049866666666, -65.554871)",[213]
"(119.01712300000001, -59.99394900000001)","[212, 214]"
"(121.01712300000001, -55.99394899999999)","[213, 215, 244]"
"(126.08383199999999, -58.22153766666667)","[199, 214]"
"(183.751531, -41.889079)","[193, 217]"
"(180.08486433333334, -44.22241233333333)","[204, 216]"
"(11.750498666666665, -54.22153766666667)","[219, 223, 970]"
"(14.417165333333335, -54.554871)",[218]
"(24.767921, -74.916817)",[992]
"(4.417165333333333, -44.22153766666667)","[222, 298]"
"(7.083832, -45.888204333333334)","[221, 223]"
"(9.083832, -50.554871)","[218, 222]"
"(-70.90369666666668, -65.37098066666667)",[229]
"(-91.91616800000001, -57.22153766666667)","[226, 230]"
"(-86.87973766666666, -51.52838033333334)","[225, 227]"
"(-81.03331233333334, -55.22600566666667)","[226, 228]"
"(-82.78534433333333, -66.28316366666667)","[227, 229]"
"(-76.78534433333333, -67.28316366666667)","[224, 228]"
"(-94.24950133333334, -53.554871)",[225]
"(-130.2494353333333, -49.88827799999999)",[232]
"(-131.58276866666665, -50.22161133333333)","[231, 233]"
"(-132.916102, -53.554944666666664)","[232, 234, 241]"
"(-137.24950133333334, -53.554871)","[233, 239]"
"(-147.18209333333334, -30.934321999999998)","[236, 958]"
"(-147.84917699999997, -35.93374166666666)","[235, 237, 238]"
"(-153.42109666666667, -34.366420999999995)","[236, 1906]"
"(-139.916168, -43.888204333333334)","[236, 239]"
"(-140.916168, -48.554871)","[234, 238]"
"(-126.91610199999998, -61.55494466666667)","[112, 241]"
"(-131.916102, -59.88827800000001)","[233, 240]"
"(107.75049866666666, -20.221537666666666)",[245]
"(123.08383199999999, -45.554871)",[244]
"(119.68378966666667, -47.32728233333333)","[214, 243, 256]"
"(106.41716533333333, -20.554871)","[242, 250]"
"(85.75049866666666, -0.5548723333333331)","[247, 389]"
"(89.41716533333333, -1.5548723333333332)","[246, 248]"
"(91.75049866666666, -5.221539)","[247, 249]"
"(91.08383199999999, -8.888207333333334)","[248, 255]"
"(105.75024933333334, -25.22094633333333)","[245, 251, 253]"
"(109.41691600000001, -28.887612999999998)","[250, 252]"
"(108.41691600000001, -34.22094633333333)","[251, 258]"
"(102.08358266666666, -21.554281333333336)","[250, 254]"
"(98.08358266666669, -19.554283)","[253, 255]"
"(95.75049866666666, -10.888208333333333)","[249, 254]"
"(118.01712300000001, -42.32728233333333)","[244, 257]"
"(113.68378966666667, -41.99394899999999)","[256, 258]"
"(113.41716533333333, -34.554871)","[252, 257]"
"(-10.249501333333333, -18.888206)","[260, 335]"
"(-10.249501333333333, -24.221537666666666)","[259, 263]"
"(-10.582834666666665, -43.888204333333334)","[177, 262, 265]"
"(-21.30632, -38.266941333333335)","[261, 263, 264]"
"(-19.63965333333333, -27.266941333333335)","[260, 262, 324]"
"(-26.972986666666667, -44.60027466666667)",[262]
"(-3.9142450000000006, -41.55316199999999)",[261]
"(-96.247884, -5.556337666666667)",[267]
"(-95.58121733333333, -10.223004333333334)","[266, 270]"
"(-95.246493, -44.65412933333334)",[269]
"(-92.57982633333332, -43.987462666666666)","[268, 272]"
"(-93.58121733333333, -13.556336)","[267, 280, 281]"
"(-89.24950133333334, -32.22153766666667)","[272, 285]"
"(-92.57982633333334, -35.65412933333334)","[269, 271, 273]"
"(-99.603231, -28.936790000000002)","[272, 282]"
"(-57.102925666666664, -19.454920666666666)","[275, 322]"
"(-62.807223, -24.87740066666667)","[274, 276]"
"(-67.90037266666666, -29.210924333333327)","[275, 277]"
"(-70.233706, -31.210924333333327)","[276, 278]"
"(-74.23542266666665, -30.874578666666665)","[277, 283]"
"(-85.56528466666667, -26.167311)","[280, 284]"
"(-87.58293400000001, -19.219988666666666)","[270, 279]"
"(-93.58283466666667, -18.888206)","[270, 282]"
"(-99.27290599999999, -19.837533333333333)","[273, 281]"
"(-76.25121800000001, -34.885191999999996)","[278, 284]"
"(-80.898618, -32.500644333333334)","[279, 283]"
"(-85.58283466666667, -38.22153766666667)",[271]
"(77.41716533333333, -2.5548716666666667)",[287]
"(75.75098933333334, -3.2198019999999996)","[286, 290, 363]"
"(86.28356933333333, -24.906946333333334)",[296]
"(80.75049866666667, -7.221540666666667)",[290]
"(78.08432266666667, -6.219803666666667)","[287, 289, 295]"
"(64.64895733333333, -37.632048999999995)","[293, 294]"
"(85.75049866666666, -14.221541)",[296]
"(56.44922, -41.27997366666667)","[291, 989]"
"(70.61786, -22.905228999999995)","[291, 295]"
"(78.28406, -15.238545)","[290, 294, 296]"
"(83.28356933333333, -20.240281333333332)","[288, 292, 295]"
"(32.417909, -19.886698)","[300, 987]"
"(3.417165333333333, -40.22153766666667)","[221, 299]"
"(1.7504986666666669, -39.22153766666667)","[298, 302]"
"(27.418069333333335, -20.22022533333333)","[297, 301]"
"(24.418069333333335, -23.22022533333333)","[300, 317]"
"(0.41716533333333344, -36.554871)","[299, 303]"
