"[-39.916168, -180.554871]","[-39.916168, -179.554871]","[-37.916168, -180.554871]"
"[-36.916168, -178.554871]","[-36.916168, -177.554871]","[-34.916168, -178.554871]"
"[-40.916168, -182.554871]","[-39.916168, -180.554871]","[-37.916168, -180.554871]"
"[-37.916168, -180.554871]","[-36.916168, -178.554871]","[-34.916168, -178.554871]"
"[-37.916168, -180.554871]","[-34.916168, -178.554871]","[-14.927523, -180.555695]"
"[-37.916168, -180.554871]","[-14.927523, -180.555695]","[-32.916168, -192.554871]"
"[-40.338696, -198.949234]","[-49.599194, -196.730804]","[-51.085361, -192.888611]"
"[-40.338696, -198.949234]","[-51.085361, -192.888611]","[-40.916168, -182.554871]"
"[-40.338696, -198.949234]","[-40.916168, -182.554871]","[-37.916168, -180.554871]"
"[-40.338696, -198.949234]","[-37.916168, -180.554871]","[-32.916168, -192.554871]"
"[-51.085361, -192.888611]","[-52.916168, -184.554871]","[-42.916168, -181.554871]"
"[-51.085361, -192.888611]","[-42.916168, -181.554871]","[-40.916168, -182.554871]"
"[-14.927523, -180.555695]","[-34.916168, -178.554871]","[-33.916168, -176.554871]"
"[-12.571748, -161.848495]","[-6.916168, -174.554871]","[-14.927523, -180.555695]"
"[-12.571748, -161.848495]","[-14.927523, -180.555695]","[-33.916168, -176.554871]"
"[-36.916168, -177.554871]","[-36.916168, -178.554871]","[-38.916168, -177.554871]"
"[-39.916168, -179.554871]","[-39.916168, -180.554871]","[-41.916168, -179.554871]"
"[-35.916168, -175.554871]","[-36.916168, -177.554871]","[-38.916168, -177.554871]"
"[-38.916168, -177.554871]","[-39.916168, -179.554871]","[-41.916168, -179.554871]"
"[-41.916168, -179.554871]","[-42.916168, -181.554871]","[-52.916168, -184.554871]"
"[-38.916168, -177.554871]","[-41.916168, -179.554871]","[-52.916168, -184.554871]"
"[-35.916168, -175.554871]","[-38.916168, -177.554871]","[-52.916168, -184.554871]"
"[-52.916168, -184.554871]","[-58.916168, -176.554871]","[-63.916168, -166.554871]"
"[-52.916168, -184.554871]","[-63.916168, -166.554871]","[-38.971165, -146.554703]"
"[-52.916168, -184.554871]","[-38.971165, -146.554703]","[-36.916168, -146.554871]"
"[-52.916168, -184.554871]","[-36.916168, -146.554871]","[-35.916168, -175.554871]"
"[-16.916168, -148.554871]","[-16.243292, -151.157028]","[-19.916168, -150.554871]"
