Time,Annotation
10:42:31.600,SpreadHandsSTART
10:42:34.300,SpreadHandsSTOP
10:43:50.700,PointSTART
10:43:58.400,PointSTOP
10:44:11.800,PointSTART
10:44:30.400,PointSTOP
10:44:39.400,TouchFaceSTART
10:44:42.200,TouchFaceSTOP
10:44:46.900,RiseUpSTART
10:44:56.100,RiseUpSTOP
10:44:56.900,GrabSTART
10:45:01.600,GrabSTOP
10:45:08.700,WalkSTART
10:45:15.000,WalkSTOP
10:45:16.600,PutAwaySTART
10:45:20.900,PutAwaySTOP
10:45:22.400,TouchAbdomenSTART
10:45:26.200,TouchAbdomenSTOP
10:45:28.800,WalkSTART
10:45:33.500,WalkSTOP
10:45:36.600,OpenSTART
10:45:39.100,OpenSTOP
10:45:39.800,PullSTART
10:45:44.400,PullSTOP
10:45:48.600,LiftSTART
10:45:58.900,LisftSTOP
10:45:59.400,ManipulateObjectSTART
10:46:40.200,ManipulateObjectSTOP
10:46:41.500,GrabSTART
10:46:45.900,GrabSTOP
10:46:46.400,WalkSTART
10:46:56.300,WalkSTOP
10:46:56.400,TouchFaceSTART
10:46:59.500,TouchFaceSTOP
10:46:59.600,WalkSTART
10:47:14.200,WalkSTOP
10:47:14.300,OpenSTART
10:47:27.300,OpenSTOP
10:47:27.400,WalkSTART
10:47:31.500,WalkSTOP
10:47:34.300,PutAwaySTART
10:47:42.100,PutAwaySTOP
10:47:44.600,GrabSTART
10:47:48.000,GrabSTOP
10:47:51.800,WalkSTART
10:48:11.200,WalkSTOP
10:48:12.900,WalkSTART
10:48:37.200,WalkSTOP
10:48:37.800,TouchFaceSTART
10:48:44.300,TouchFaceSTOP
10:48:44.600,TouchAbdomenSTART
10:48:52.500,TouchAbdomenSTOP
10:48:53.800,TouchFaceSTART
10:48:57.500,TouchFaceSTOP
10:48:58.000,SpreadHandsSTART
10:49:02.200,SpreadHandsSTOP
10:49:21.000,TouchAbdomenSTART
10:49:24.500,TouchAbdomenSTOP
10:49:49.700,TouchAbdomenSTART
10:49:54.600,TouchAbdomenSTOP
10:49:59.100,TouchFaceSTART
10:50:04.400,TouchFaceSTOP
10:50:44.200,TouchFaceSTART
10:50:48.200,TouchFaceSTOP
10:51:13.600,WalkSTART
10:53:35.300,WalkSTOP
10:53:44.800,WalkSTART
10:54:04.100,WalkSTOP
10:54:06.900,WalkSTART
10:54:33.000,WalkSTOP
10:54:33.500,SitDownSTART
10:54:38.700,SitDownSTOP
10:54:39.500,SitSTART
10:54:42.600,SitSTOP
10:55:21.900,TouchAbdomenSTART
10:55:26.700,TouchAbdomenSTOP
10:55:31.800,TouchFaceSTART
10:55:37.100,TouchFaceSTOP
10:55:40.700,TouchFaceSTART
10:55:44.300,TouchFaceSTOP
10:55:44.400,TouchAbdomenSTART
10:55:57.300,TouchAbdomenSTOP
10:56:22.700,TouchFaceSTART
10:56:25.000,TouchFaceSTOP
10:56:25.400,TouchFaceSTART
10:56:26.400,TouchFaceSTOP
10:57:19.800,TouchFaceSTART
10:57:24.800,TouchFaceSTOP
10:58:50.300,TouchFaceSTART
10:58:53.300,TouchFaceSTOP
10:58:57.500,TouchFaceSTART
10:59:01.800,TouchFaceSTOP
11:00:40.200,RiseUpSTART
11:00:46.900,RiseUpSTOP
11:00:48.600,WalkSTART
11:00:59.700,WalkSTOP
11:01:00.600,WalkSTART
11:01:13.000,WalkSTOP
11:01:17.700,WalkSTART
11:01:21.000,WalkSTOP
11:01:30.000,OpenFaucetSTART
11:01:38.200,OpenFaucetSTOP
11:01:39.600,GrabSTART
11:01:45.400,GrabSTOP
11:01:48.700,ManipulateObjectSTART
11:01:55.500,ManipulateObjectSTOP
11:01:55.900,PutAwaySTART
11:01:59.200,PutAwaySTOP
11:02:03.400,CloseFaucetSTART
11:02:05.200,CloseFaucetSTOP
11:02:05.800,ShakeHandSTART
11:02:08.000,ShakeHandSTOP
11:02:09.400,PutAwaySTART
11:02:12.800,PutAwaySTOP
11:02:13.200,PutAwaySTART
11:02:17.400,PutAwaySTOP
11:02:18.400,ManipulateObjectSTART
11:03:11.800,ManipulateObjectSTOP
11:03:12.700,OpenFaucetSTART
11:03:17.200,OpenFaucetSTOP
11:03:17.300,WashHandsSTART
11:03:22.700,WashHandsSTOP
11:03:23.500,ManipulateObjectSTART
11:04:31.700,ManipulateObjectSTOP
11:04:33.900,CloseFaucetSTART
11:04:37.700,CloseFaucetSTOP
11:04:45.400,WalkSTART
11:04:50.600,WalkSTOP
11:04:50.900,ManipulateObjectSTART
11:05:07.400,ManipulateObjectSTOP
11:05:08.200,WalkSTART
11:05:12.400,WalkSTOP
11:05:12.500,GrabSTART
11:05:14.800,GrabSTOP
11:05:15.200,OpenFaucetSTART
11:05:18.400,OpenFaucetSTOP
11:05:19.500,ManipulateObjectSTART
11:05:30.200,ManipulateObjectSTOP
11:05:30.400,CloseFaucetSTART
11:05:31.900,CloseFaucetSTOP
11:05:47.600,SweepOrMoveSTART
11:06:43.200,SweepOrMoveSTOP
11:06:45.500,SweepOrMoveSTART
11:06:58.900,SweepOrMoveSTOP
11:07:00.900,WalkSTART
11:07:05.900,WalkSTOP
11:07:06.200,ManipulateObjectSTART
11:07:10.900,ManipulateObjectSTOP
11:07:11.000,WalkSTART
11:07:14.600,WalkSTOP
11:07:14.900,SweepOrMoveSTART
11:07:21.300,SweepOrMoveSTOP
11:07:21.400,WalkSTART
11:07:27.700,WalkSTOP
11:07:29.300,SweepOrMoveSTART
11:08:07.900,SweepOrMoveSTOP
11:08:17.500,ManipulateObjectSTART
11:08:22.600,ManipulateObjectSTOP
11:08:32.900,PutAwaySTART
11:08:45.100,PutAwaySTOP
11:08:47.200,WalkSTART
11:08:52.400,WalkSTOP
11:08:52.500,ManipulateObjectSTART
11:09:07.800,ManipulateObjectSTOP
11:09:09.900,OpenSTART
11:09:11.600,OpenSTOP
11:09:11.900,PullSTART
11:09:15.200,PullSTOP
11:09:16.900,LiftSTART
11:09:26.500,LiftSTOP
11:09:35.000,LiftSTART
11:09:38.300,LiftSTOP
11:09:38.900,ManipulateObjectSTART
11:09:54.800,ManipulateObjectSTOP
11:09:54.900,GrabSTART
11:09:56.600,GrabSTOP
11:09:58.200,WalkSTART
11:10:04.500,WalkSTOP
11:10:05.800,WalkSTART
11:10:34.700,WalkSTOP
11:10:36.500,WalkSTART
11:10:41.800,WalkSTOP
11:10:44.600,PutAwaySTART
11:10:51.000,PutAwaySTOP
11:10:57.400,TouchAbdomenSTART
11:11:00.800,TouchAbdomenSTOP
11:11:01.200,TouchFaceSTART
11:11:05.200,TouchFaceSTOP
11:11:05.400,TouchAbdomenSTART
11:11:11.000,TouchAbdomenSTOP
11:11:11.100,WalkSTART
11:11:46.600,WalkSTOP
11:11:48.300,TouchFaceSTART
11:11:51.700,TouchFaceSTOP
11:11:52.800,WalkSTART
11:12:29.900,WalkSTOP
11:12:33.800,WalkSTART
11:12:37.300,WalkSTOP
11:12:57.200,SitDownSTART
11:13:04.700,SitDownSTOP
11:13:07.700,RandomSTART
11:13:26.300,RandomSTOP
