Time,BTID,signal
38519317,00:09:42:00:19:8f,-80
38522392,00:09:42:00:19:8f,-83
38523064,00:09:42:00:19:8f,-85
38523627,00:09:42:00:19:8f,-79
38524141,00:09:42:00:19:8f,-87
38524788,00:09:42:00:19:8f,-79
38525284,00:09:42:00:19:8f,-81
38526886,00:09:42:00:19:8f,-82
38531402,00:09:42:00:19:8f,-86
38533116,00:09:42:00:19:8f,-80
38533449,00:09:42:00:19:8f,-88
38534966,00:09:42:00:19:8f,-75
38535440,00:09:42:00:19:8f,-86
38535835,00:09:42:00:19:8f,-78
38537694,00:09:42:00:19:8f,-83
38539595,00:09:42:00:19:8f,-85
38542628,00:09:42:00:19:8f,-75
38543077,00:09:42:00:19:8f,-83
38543554,00:09:42:00:19:8f,-84
38543865,00:09:42:00:19:8f,-80
38545648,00:09:42:00:19:8f,-86
38547311,00:09:42:00:19:8f,-80
38548031,00:09:42:00:19:8f,-84
38548231,00:09:42:00:19:8f,-77
38548447,00:09:42:00:19:8f,-84
38548731,00:09:42:00:19:8f,-76
38549297,00:09:42:00:19:8f,-82
38549630,00:09:42:00:19:8f,-77
38550108,00:09:42:00:19:8f,-84
38554885,00:09:42:00:19:8f,-88
38558148,00:09:42:00:19:8f,-83
38560069,00:09:42:00:19:8f,-88
38560355,00:09:42:00:19:8f,-79
38561084,00:09:42:00:19:8f,-90
38564275,00:09:42:00:19:8f,-83
38567224,00:09:42:00:19:8f,-80
38573601,00:09:42:00:19:8f,-83
38574976,00:09:42:00:19:8f,-80
38578374,00:09:42:00:19:8f,-79
38579073,00:09:42:00:19:8f,-80
38579720,00:09:42:00:19:8f,-83
38581660,00:09:42:00:19:8f,-89
38582219,00:09:42:00:19:8f,-77
38582581,00:09:42:00:19:8f,-78
38582879,00:09:42:00:19:8f,-83
38587884,00:09:42:00:19:8f,-79
38588620,00:09:42:00:19:8f,-79
38589297,00:09:42:00:19:8f,-83
38590067,00:09:42:00:19:8f,-86
38590196,00:09:42:00:19:8f,-89
38592377,00:09:42:00:19:8f,-85
38593040,00:09:42:00:19:8f,-86
38597510,00:09:42:00:19:8f,-83
38600246,00:09:42:00:19:8f,-78
38600647,00:09:42:00:19:8f,-85
38600804,00:09:42:00:19:8f,-80
38601368,00:09:42:00:19:8f,-83
38602980,00:09:42:00:19:8f,-88
38603267,00:09:42:00:19:8f,-83
38606049,00:09:42:00:19:8f,-83
38609057,00:09:42:00:19:8f,-83
38611484,00:09:42:00:19:8f,-88
38611844,00:09:42:00:19:8f,-83
38612203,00:09:42:00:19:8f,-81
38616776,00:09:42:00:19:8f,-85
38617176,00:09:42:00:19:8f,-77
38617874,00:09:42:00:19:8f,-87
38618045,00:09:42:00:19:8f,-83
38620620,00:09:42:00:19:8f,-83
38621279,00:09:42:00:19:8f,-84
38621655,00:09:42:00:19:8f,-87
38622341,00:09:42:00:19:8f,-85
38623055,00:09:42:00:19:8f,-76
38627513,00:09:42:00:19:8f,-83
38629460,00:09:42:00:19:8f,-85
38629911,00:09:42:00:19:8f,-87
38633089,00:09:42:00:19:8f,-83
38633279,00:09:42:00:19:8f,-75
38633841,00:09:42:00:19:8f,-77
38635512,00:09:42:00:19:8f,-82
38636024,00:09:42:00:19:8f,-81
38636153,00:09:42:00:19:8f,-85
38636318,00:09:42:00:19:8f,-82
38636873,00:09:42:00:19:8f,-83
38637685,00:09:42:00:19:8f,-84
38637799,00:09:42:00:19:8f,-83
38637960,00:09:42:00:19:8f,-77
38638485,00:09:42:00:19:8f,-78
38639111,00:09:42:00:19:8f,-86
38639458,00:09:42:00:19:8f,-85
38639648,00:09:42:00:19:8f,-85
38640994,00:09:42:00:19:8f,-83
38641111,00:09:42:00:19:8f,-83
38642815,00:09:42:00:19:8f,-84
38643031,00:09:42:00:19:8f,-88
38644803,00:09:42:00:19:8f,-82
38645302,00:09:42:00:19:8f,-83
38645599,00:09:42:00:19:8f,-88
38645815,00:09:42:00:19:8f,-82
38646152,00:09:42:00:19:8f,-85
38648388,00:09:42:00:19:8f,-84
38648524,00:09:42:00:19:8f,-83
38648974,00:09:42:00:19:8f,-83
38649557,00:09:42:00:19:8f,-85
38650022,00:09:42:00:19:8f,-84
38650482,00:09:42:00:19:8f,-83
38650906,00:09:42:00:19:8f,-84
38651469,00:09:42:00:19:8f,-82
38651791,00:09:42:00:19:8f,-83
38653589,00:09:42:00:19:8f,-80
38653768,00:09:42:00:19:8f,-85
38660407,00:09:42:00:19:8f,-83
