Time,Locations
2010-07-28 10:41:55,00:09:42:00:19:8f
2010-07-28 10:41:55.640000,00:09:42:00:19:8f
2010-07-28 10:41:56.280000,00:09:42:00:19:8f
2010-07-28 10:41:56.920000,00:09:42:00:19:8f
2010-07-28 10:41:57.560000,00:09:42:00:19:8f
2010-07-28 10:41:58.200000,00:09:42:00:19:8f
2010-07-28 10:41:58.840000,00:09:42:00:19:8f
2010-07-28 10:41:59.480000,00:09:42:00:19:8f
2010-07-28 10:42:00.120000,00:09:42:00:19:8f
2010-07-28 10:42:00.760000,00:09:42:00:19:8f
2010-07-28 10:42:01.400000,00:09:42:00:19:8f
2010-07-28 10:42:02.040000,00:09:42:00:19:8f
2010-07-28 10:42:02.680000,00:09:42:00:19:8f
2010-07-28 10:42:03.320000,00:09:42:00:19:8f
2010-07-28 10:42:03.960000,00:09:42:00:19:8f
2010-07-28 10:42:04.600000,00:09:42:00:19:8f
2010-07-28 10:42:05.240000,00:09:42:00:19:8f
2010-07-28 10:42:05.880000,00:09:42:00:19:8f
2010-07-28 10:42:06.520000,00:09:42:00:19:8f
2010-07-28 10:42:07.160000,00:09:42:00:19:8f
2010-07-28 10:42:07.800000,00:09:42:00:19:8f
2010-07-28 10:42:08.440000,00:09:42:00:19:8f
2010-07-28 10:42:09.080000,00:09:42:00:19:8f
2010-07-28 10:42:09.720000,00:09:42:00:19:8f
2010-07-28 10:42:10.360000,00:09:42:00:19:8f
2010-07-28 10:42:11,00:09:42:00:19:8f
2010-07-28 10:42:11.640000,00:09:42:00:19:8f
2010-07-28 10:42:12.280000,00:09:42:00:19:8f
2010-07-28 10:42:12.920000,00:09:42:00:19:8f
2010-07-28 10:42:13.560000,00:09:42:00:19:8f
2010-07-28 10:42:14.200000,00:09:42:00:19:8f
2010-07-28 10:42:14.840000,00:09:42:00:19:8f
2010-07-28 10:42:15.480000,00:09:42:00:19:8f
2010-07-28 10:42:16.120000,00:09:42:00:19:8f
2010-07-28 10:42:16.760000,00:09:42:00:19:8f
2010-07-28 10:42:17.400000,00:09:42:00:19:8f
2010-07-28 10:42:18.040000,00:09:42:00:19:8f
2010-07-28 10:42:18.680000,00:09:42:00:19:8f
2010-07-28 10:42:19.320000,00:09:42:00:19:8f
2010-07-28 10:42:19.960000,00:09:42:00:19:8f
2010-07-28 10:42:20.600000,00:09:42:00:19:8f
2010-07-28 10:42:21.240000,00:09:42:00:19:8f
2010-07-28 10:42:21.880000,00:09:42:00:19:8f
2010-07-28 10:42:22.520000,00:09:42:00:19:8f
2010-07-28 10:42:23.160000,00:09:42:00:19:8f
2010-07-28 10:42:23.800000,00:09:42:00:19:8f
2010-07-28 10:42:24.440000,00:09:42:00:19:8f
2010-07-28 10:42:25.080000,00:09:42:00:19:8f
