@relation 1811dataset2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' ax' numeric
@attribute ' ay' numeric
@attribute ' az' numeric
@attribute ' gx' numeric
@attribute ' gy' numeric
@attribute ' gz' numeric
@attribute ' gesture' {Down,Idle,Left,LRollL,LRollR,Right,RollL,RollR,Up}

@data
-201,327,1077,172,-159,90,Down
-214,339,1083,156,-175,90,Down
-210,316,1085,139,-191,135,Down
-187,238,1070,123,-191,135,Down
-175,204,1058,139,-175,181,Down
-169,192,1031,139,-159,226,Down
-160,175,1011,156,-126,181,Down
-154,157,987,172,-93,181,Down
-147,156,975,189,-61,181,Down
-153,169,956,189,-44,181,Down
-157,168,938,205,-44,135,Down
-154,175,917,189,-44,135,Down
-150,186,909,189,-44,90,Down
-147,192,905,189,-28,90,Down
-132,205,902,189,-28,135,Down
-136,226,902,172,-28,90,Down
-135,237,905,156,-12,90,Down
-127,247,912,139,-12,135,Down
-144,253,915,106,-28,90,Down
-147,258,917,90,-12,90,Down
-135,256,918,73,-44,90,Down
-132,256,915,40,-44,90,Down
-121,252,918,40,-61,90,Down
-97,249,927,7,-61,45,Down
-94,247,935,7,-44,90,Down
-108,247,947,-8,-28,45,Down
-121,246,962,-25,-28,45,Down
-130,244,983,-8,-12,45,Down
-132,232,1004,-25,-28,0,Down
-130,232,1016,-8,-12,0,Down
-136,226,1023,7,-28,-45,Down
-141,222,1022,7,-28,0,Down
-144,211,1026,7,-28,45,Down
-141,207,1020,7,-44,-45,Down
-142,199,1013,24,-12,45,Down
-144,195,1008,40,-12,0,Down
-147,192,1007,57,4,0,Down
-139,205,1005,57,20,0,Down
-135,213,1001,73,36,0,Down
-138,220,1002,73,52,45,Down
-150,222,998,73,52,0,Down
-163,226,996,73,36,0,Down
-157,226,996,73,36,0,Down
-148,220,983,73,4,45,Down
-145,226,983,73,4,0,Down
-138,228,975,57,4,45,Down
-135,223,972,90,36,45,Down
-150,229,969,73,20,0,Down
-160,223,975,73,20,0,Down
-163,222,980,73,20,45,Down
-163,222,983,73,20,45,Down
-162,223,987,73,4,45,Down
-169,213,987,73,4,45,Down
-163,217,987,73,-12,45,Down
-157,222,980,73,-12,45,Down
-171,220,980,73,-12,45,Down
-163,214,977,57,-12,45,Down
-166,211,975,57,-12,45,Down
-162,211,975,57,4,45,Down
-163,211,975,57,4,45,Down
-166,211,980,57,4,45,Down
-168,201,986,57,4,45,Down
-166,201,986,57,-12,45,Down
-163,201,989,40,-12,90,Down
-160,204,984,57,-12,45,Down
-160,202,977,40,-12,45,Down
-156,205,975,40,-12,45,Down
-148,214,977,40,-12,45,Down
-151,210,980,40,4,45,Down
-156,207,975,24,4,90,Down
-151,216,978,24,-12,45,Down
-153,220,980,7,-12,90,Down
-175,210,987,7,-28,45,Down
-172,205,989,7,-61,90,Down
-154,196,996,7,-61,45,Down
-147,202,1005,7,-61,45,Down
-144,193,1004,24,-44,0,Down
-148,190,1005,7,-44,0,Down
-147,186,1002,24,-12,-45,Down
-160,181,1002,24,-28,-90,Down
-171,184,1013,40,4,-45,Down
-174,180,1011,57,-12,-135,Down
-180,177,1010,57,4,-90,Down
-177,166,1011,90,20,-181,Down
-162,172,1010,106,36,-135,Down
-163,178,1013,106,52,-135,Down
-168,178,1017,123,52,-181,Down
-175,175,1023,123,52,-226,Down
-171,174,1022,156,52,-271,Down
-183,181,1017,139,36,-226,Down
-183,180,1004,156,20,-271,Down
-184,175,990,156,4,-316,Down
-162,177,990,172,4,-316,Down
-145,181,995,189,4,-407,Down
-150,181,999,189,4,-407,Down
-160,186,984,189,20,-407,Down
-168,192,980,156,-28,-497,Down
