@relation 1811teachset2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' ax' numeric
@attribute ' ay' numeric
@attribute ' az' numeric
@attribute ' gx' numeric
@attribute ' gy' numeric
@attribute ' gz' numeric
@attribute ' gesture' {Down,Idle,Left,LRollL,LRollR,Right,RollL,RollR,Up}

@data
-229,244,981,7,-77,45,Down
-237,243,978,40,-44,90,Down
-228,238,974,24,-77,45,Down
-219,244,977,40,-61,135,Down
-222,237,977,24,-77,45,Down
-211,228,981,24,-61,90,Down
-205,229,981,24,-44,45,Down
-219,223,975,24,-28,45,Down
-223,222,974,40,-28,90,Down
-223,223,972,40,-28,45,Down
-229,220,974,40,-28,45,Down
-240,222,974,57,-28,90,Down
-235,216,978,40,-44,45,Down
-234,208,978,57,-44,45,Down
-223,211,975,40,-44,45,Down
-235,208,972,57,-28,135,Down
-232,201,975,57,-28,45,Down
-231,211,974,40,-28,181,Down
-234,210,981,90,4,45,Down
-241,207,977,40,-44,135,Down
-244,211,975,90,-12,135,Down
-237,214,969,24,-61,45,Down
-238,213,968,40,-61,45,Down
-240,211,968,40,-28,181,Down
-246,211,978,40,-61,0,Down
-250,211,972,40,-61,0,Down
-253,214,975,24,-77,45,Down
-249,216,980,57,-77,0,Down
-235,213,984,24,-93,0,Down
-229,214,989,24,-93,0,Down
-231,213,993,57,-44,0,Down
-234,207,993,57,-12,45,Down
-237,219,989,40,4,45,Down
-255,223,981,57,-12,45,Down
-268,222,975,57,4,45,Down
-268,222,975,57,-12,90,Down
-261,222,974,40,-28,90,Down
-249,225,975,40,-28,90,Down
-247,222,978,40,-28,90,Down
-237,210,984,40,-28,90,Down
-238,214,975,40,-12,90,Down
-241,211,972,40,-12,90,Down
-253,207,969,40,-12,90,Down
-252,204,975,40,-12,90,Down
-246,205,978,40,-28,90,Down
-243,204,977,40,-12,90,Down
-243,204,978,40,-28,90,Down
-237,198,984,24,-28,90,Down
-250,193,987,40,-28,90,Down
-250,189,983,24,-28,90,Down
-252,196,983,24,-28,135,Down
-259,190,986,40,-28,90,Down
-262,184,989,40,-28,90,Down
-250,184,989,40,-44,135,Down
-247,181,986,40,-44,135,Down
-247,192,984,40,-44,135,Down
-247,192,984,40,-44,135,Down
-247,192,995,57,-28,135,Down
-252,193,999,40,-28,181,Down
-244,199,998,40,-28,135,Down
-243,195,995,40,-28,181,Down
-238,192,998,40,-28,181,Down
-244,196,1002,40,-28,181,Down
-244,193,1002,24,-61,181,Down
-243,192,1002,40,-61,135,Down
-241,190,999,40,-61,135,Down
-232,189,998,40,-61,135,Down
-229,190,996,40,-77,90,Down
-223,189,996,57,-61,90,Down
-220,187,996,57,-61,90,Down
-216,183,999,40,-77,135,Down
-220,186,996,57,-44,90,Down
-214,190,999,57,-44,181,Down
-220,184,1004,57,-44,181,Down
-219,181,1001,73,-44,181,Down
-220,181,999,57,-61,181,Down
-217,178,1002,40,-77,135,Down
-214,178,1002,57,-77,181,Down
-214,175,1005,57,-77,90,Down
-214,178,1011,73,-77,135,Down
-220,169,1016,57,-77,135,Down
-225,174,1014,73,-93,90,Down
-223,172,1022,73,-93,135,Down
-225,183,1028,90,-93,135,Down
-225,181,1038,90,-93,90,Down
