#Time,Info1,Info2,Info3
11:50:17.100,Idle,,
11:50:19.700,Down,,
11:50:19.900,Idle,,
11:50:20.700,Down,,
11:50:21.200,Idle,,
11:50:22.100,Down,,
11:50:22.500,Idle,,
11:50:24.000,Down,,
11:50:24.400,Idle,,
11:50:25.600,Down,,
11:50:26.000,Idle,,
11:50:27.500,Down,,
11:50:27.900,Idle,,
11:50:29.500,Up,,
11:50:29.900,Idle,,
11:50:31.500,Up,,
11:50:32.000,Idle,,
11:50:33.700,Up,,
11:50:34.200,Idle,,
11:50:36.400,Up,,
11:50:36.700,Idle,,
11:50:38.800,Up,,
11:50:39.100,Idle,,
11:50:41.800,Up,,
11:50:42.300,Idle,,
11:50:46.300,Right,,
11:50:46.600,Idle,,
11:50:48.300,Right,,
11:50:48.700,Idle,,
11:50:50.600,Right,,
11:50:51.000,Idle,,
11:50:53.500,Right,,
11:50:53.900,Idle,,
11:50:56.600,Right,,
11:50:57.100,Idle,,
11:50:58.700,Right,,
11:50:59.100,Idle,,
11:51:01.600,Left,,
11:51:02.000,Idle,,
11:51:04.400,Left,,
11:51:04.700,Idle,,
11:51:07.000,Left,,
11:51:07.500,Idle,,
11:51:08.800,Left,,
11:51:09.200,Idle,,
11:51:11.700,Left,,
11:51:12.100,Idle,,
11:51:14.000,Left,,
11:51:14.300,Idle,,
11:51:16.500,RollL,,
11:51:16.600,Idle,,
11:51:17.900,LRollL,,
11:51:18.100,Idle,,
11:51:19.600,RollL,,
11:51:19.800,Idle,,
11:51:21.400,RollL,,
11:51:21.700,Idle,,
11:51:23.100,RollL,,
11:51:23.300,Idle,,
11:51:25.400,RollL,,
11:51:25.700,Idle,,
11:51:26.900,RollR,,
11:51:27.100,Idle,,
11:51:28.400,RollR,,
11:51:28.800,Idle,,
11:51:30.200,RollR,,
11:51:30.500,Idle,,
11:51:32.000,RollR,,
11:51:32.200,Idle,,
11:51:33.900,RollR,,
11:51:34.100,Idle,,
11:51:35.800,RollR,,
11:51:36.000,Idle,,
11:51:41.300,LRollL,,
11:51:42.000,Idle,,
11:51:44.400,LRollL,,
11:51:44.900,Idle,,
11:51:47.200,LRollL,,
11:51:47.800,Idle,,
11:51:49.800,LRollL,,
11:51:50.400,Idle,,
11:51:52.800,LRollL,,
11:51:53.400,Idle,,
11:51:55.700,LRollL,,
11:51:56.300,Idle,,
11:51:58.800,LRollR,,
11:51:59.400,Idle,,
11:52:01.800,LRollR,,
11:52:02.400,Idle,,
11:52:04.500,LRollR,,
11:52:05.100,Idle,,
11:52:07.400,LRollR,,
11:52:08.100,Idle,,
11:52:10.400,LRollR,,
11:52:11.000,Idle,,
11:52:13.300,LRollR,,
11:52:13.900,Idle,,
