@relation readyfile-weka.filters.unsupervised.attribute.Remove-R1

@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute Idle {Down,Idle,Up,Right,Left}

@data
410,-159,1185,7,85,135,Down
407,-155,1223,-41,85,181,Down
420,-140,1136,73,85,90,Down
414,-143,1158,40,85,90,Down
416,-134,1295,-140,85,135,Down
416,-138,1320,-222,69,226,Down
408,-146,1271,-90,85,181,Down
393,-123,986,172,69,0,Down
404,-126,1002,156,85,45,Down
372,-128,951,172,52,-45,Down
383,-119,966,139,36,45,Down
402,-126,1079,123,85,45,Down
423,-134,1104,90,85,45,Down
399,-122,1035,156,101,45,Down
578,-153,1445,-947,36,633,Down
576,-150,1424,-1046,36,678,Down
545,-162,1436,-766,-28,497,Down
560,-159,1440,-865,4,588,Down
566,-147,1379,-1260,4,724,Down
570,-146,1341,-1359,4,859,Down
561,-155,1410,-1161,20,724,Down
417,-161,1358,-354,20,271,Down
431,-167,1371,-420,20,362,Down
411,-152,1343,-272,52,271,Down
465,-174,1394,-601,-12,452,Down
507,-171,1415,-667,-28,407,Down
437,-174,1380,-519,-12,316,Down
317,-138,1013,172,167,90,Down
297,-132,995,172,183,135,Down
359,-177,1035,156,118,90,Down
335,-155,1026,156,150,90,Down
299,-144,975,156,167,135,Down
312,-143,957,156,167,90,Down
293,-137,987,172,183,90,Down
-307,-524,-153,-371,150,543,Down
-334,-534,-175,-272,101,452,Down
-243,-524,-114,-585,216,724,Down
-273,-516,-133,-486,199,633,Down
413,-248,1049,123,36,90,Down
384,-209,1040,139,69,90,Down
446,-281,1062,90,-28,45,Down
350,-98,890,139,101,0,Down
347,-104,902,139,69,45,Down
363,-87,875,123,118,0,Down
365,-92,884,139,134,45,Down
360,-113,930,156,52,0,Down
372,-125,933,156,36,0,Down
350,-114,914,156,52,45,Down
332,-126,917,139,167,45,Down
338,-126,896,106,150,45,Down
323,-137,938,139,167,90,Down
359,-105,884,106,134,-45,Down
368,-95,876,123,150,45,Down
353,-116,893,123,167,45,Down
381,-72,927,156,-12,0,Down
375,-72,932,172,-12,0,Down
384,-72,911,189,4,0,Down
392,-68,911,172,4,0,Down
378,-92,944,189,4,0,Down
386,-86,953,172,-12,-45,Down
372,-84,939,172,-28,-45,Down
341,-65,870,139,85,0,Down
347,-50,876,172,101,90,Down
320,-93,888,172,183,90,Down
332,-72,881,139,134,0,Down
378,-54,884,156,20,181,Down
381,-66,893,156,4,135,Down
371,-51,882,156,69,135,Down
435,-113,1059,139,4,90,Down
441,-128,1067,123,36,135,Down
414,-90,1040,156,-28,45,Down
423,-102,1049,139,-28,90,Down
422,-126,1115,90,134,181,Down
408,-120,1142,73,150,181,Down
434,-128,1092,106,85,135,Down
407,-87,959,172,4,0,Down
410,-86,960,172,4,0,Down
398,-92,956,172,-12,-45,Down
399,-90,1001,172,4,45,Down
404,-87,1019,156,-12,45,Down
405,-92,980,172,20,0,Down
308,-299,654,-2018,85,1493,Down
215,-347,558,-2018,85,1493,Down
441,-225,884,-1969,118,1402,Down
396,-249,777,-2018,101,1448,Down
104,-390,374,-1985,36,1493,Down
42,-413,297,-1936,20,1493,Down
158,-371,461,-2002,52,1493,Down
641,-159,1236,-1623,20,1040,Down
639,-158,1194,-1738,36,1131,Down
587,-146,1301,-1458,-12,859,Down
612,-149,1271,-1557,-12,995,Down
564,-182,1037,-1870,101,1267,Down
479,-212,962,-1903,134,1357,Down
623,-159,1130,-1787,85,1221,Down
299,-137,954,222,264,226,Down
296,-135,929,205,248,181,Down
330,-129,983,205,232,181,Down
311,-135,971,205,232,135,Down
293,-126,902,189,232,135,Down
308,-116,891,189,216,45,Down
284,-131,918,205,232,135,Down
-48,-426,203,-1820,-12,1402,Down
-67,-420,174,-1754,-12,1402,Down
-12,-423,248,-1870,4,1448,Down
-67,-392,116,-1623,36,1312,Down
-75,-381,68,-1540,69,1267,Down
-69,-407,150,-1689,4,1357,Down
-111,-534,36,-1408,69,1131,Down
-135,-545,9,-1359,52,1086,Down
-40,-503,110,-1557,85,1221,Down
-87,-530,66,-1491,85,1176,Down
-150,-552,-27,-1227,52,1040,Down
-169,-551,-37,-1145,36,950,Down
-141,-552,-15,-1277,52,1040,Down
29,-482,299,-1804,264,1312,Down
12,-488,243,-1771,216,1312,Down
158,-450,375,-1886,313,1357,Down
75,-471,324,-1853,264,1312,Down
-51,-516,200,-1656,134,1267,Down
-9,-497,150,-1623,118,1221,Down
-39,-506,195,-1705,134,1221,Down
-321,-590,-223,-502,-126,543,Down
-357,-594,-252,-404,-159,452,Down
-271,-573,-165,-667,-61,678,Down
-292,-578,-192,-601,-93,633,Down
327,-78,1079,139,216,45,Down
317,-92,1061,123,183,45,Down
321,-90,1074,156,199,0,Down
-180,-552,-60,-1030,20,905,Down
-189,-552,-70,-947,4,859,Down
-174,-555,-51,-1095,20,950,Down
-219,-555,-111,-815,-12,769,Down
-250,-564,-129,-749,-28,724,Down
-201,-551,-85,-898,-12,814,Down
584,-110,1281,-1491,-28,859,Down
576,-122,1250,-1540,4,905,Down
585,-74,1349,-1359,-110,724,Down
590,-83,1319,-1408,-61,769,Down
540,-168,1184,-1656,69,995,Down
527,-189,1160,-1738,69,1040,Down
557,-137,1212,-1639,20,905,Down
491,-35,1391,-947,-159,543,Down
482,-47,1410,-1030,-142,543,Down
488,-11,1353,-815,-142,407,Down
504,-18,1364,-881,-159,452,Down
462,-83,1374,-1178,-159,588,Down
527,-75,1371,-1260,-126,678,Down
452,-62,1383,-1112,-175,588,Down
309,-354,684,-1969,232,1312,Down
284,-371,641,-1969,281,1312,Down
374,-330,788,-1952,183,1312,Down
356,-335,738,-1969,216,1312,Down
224,-407,500,-1952,281,1312,Down
174,-435,450,-1903,330,1357,Down
267,-387,570,-1952,313,1357,Down
474,-233,1085,-1853,85,1086,Down
446,-269,1029,-1870,101,1176,Down
503,-206,1134,-1771,101,1086,Down
422,-315,899,-1919,134,1221,Down
408,-324,833,-1969,134,1221,Down
440,-296,959,-1919,118,1176,Down
330,-392,734,-1754,69,1448,Down
293,-404,656,-1771,85,1493,Down
389,-390,857,-1689,69,1402,Down
359,-392,803,-1738,85,1448,Down
162,-446,479,-1771,85,1493,Down
89,-470,381,-1738,69,1493,Down
227,-419,575,-1771,85,1493,Down
575,-312,1115,-1441,-44,1221,Down
563,-338,1070,-1491,-28,1267,Down
639,-278,1157,-1310,-93,1040,Down
605,-294,1142,-1359,-93,1040,Down
521,-356,975,-1606,36,1357,Down
459,-372,908,-1656,36,1312,Down
554,-342,1034,-1557,4,1267,Down
-151,-525,-45,-1046,118,1086,Down
-166,-527,-51,-964,134,1040,Down
-156,-528,-12,-1244,52,1131,Down
-159,-525,-34,-1161,85,1131,Down
-177,-522,-87,-782,167,905,Down
