@relation teachset-weka.filters.unsupervised.attribute.Remove-R1

@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute Idle {Down,Idle,Up,Right,Left}

@data
-112,-423,143,-2150,4,769,Down
-130,-432,204,-2199,52,814,Down
-118,-434,-3,-2051,-61,769,Down
-114,-419,59,-2100,-44,769,Down
-6,-329,384,-2232,118,814,Down
42,-320,444,-2232,85,814,Down
-90,-395,227,-2216,85,769,Down
-24,-351,306,-2232,101,814,Down
-148,-447,-205,-1705,85,633,Down
-142,-444,-178,-1771,36,724,Down
-187,-465,-285,-1540,150,588,Down
-166,-456,-240,-1623,118,678,Down
-130,-443,-85,-1952,-28,769,Down
-121,-438,-55,-2018,-44,769,Down
-142,-444,-145,-1837,20,724,Down
-135,-444,-111,-1886,-12,724,Down
213,-209,1185,-1952,52,678,Down
201,-198,1230,-1919,20,724,Down
168,-230,1082,-2084,85,724,Down
191,-209,1116,-2035,52,724,Down
215,-129,1371,-1672,-44,588,Down
233,-116,1424,-1590,-44,588,Down
221,-170,1269,-1837,-12,588,Down
212,-153,1326,-1754,-28,678,Down
63,-324,611,-2232,85,769,Down
47,-333,686,-2232,85,814,Down
42,-338,521,-2249,101,769,Down
32,-329,552,-2249,85,814,Down
122,-257,908,-2183,69,678,Down
171,-243,1008,-2150,69,769,Down
63,-314,717,-2232,69,769,Down
90,-281,818,-2216,85,724,Down
-819,-101,-982,3780,-680,-2126,Down
-853,-135,-1180,3467,-713,-1945,Down
-621,-35,-613,4274,-420,-2353,Down
-754,-57,-787,4060,-632,-2217,Down
-829,-540,-1501,2330,-599,-1357,Down
-813,-669,-1582,1902,-550,-1131,Down
-853,-230,-1357,3105,-680,-1719,Down
-838,-375,-1411,2726,-648,-1538,Down
8,1039,729,5741,1080,-2262,Down
-124,402,12,5510,966,-2353,Down
747,2045,2014,5181,1129,-1493,Down
260,1639,1913,5609,1145,-1945,Down
-45,-120,-487,4587,183,-2489,Down
-367,-47,-448,4406,-126,-2443,Down
11,-47,-402,5181,640,-2308,Down
192,-138,-558,4884,428,-2353,Down
-460,-624,-754,-733,-240,226,Down
-420,-582,-688,-914,-142,316,Down
-553,-689,-874,-354,-452,135,Down
-513,-657,-823,-552,-354,226,Down
-282,-500,-451,-1326,134,497,Down
-231,-480,-360,-1441,150,543,Down
-382,-546,-621,-1063,-12,362,Down
-355,-510,-543,-1194,69,452,Down
-657,-777,-1255,848,-517,-543,Down
-621,-771,-1155,568,-534,-362,Down
-768,-734,-1536,1507,-517,-950,Down
-709,-770,-1410,1161,-517,-724,Down
-582,-746,-978,73,-550,-45,Down
-568,-725,-928,-140,-534,45,Down
-594,-759,-1048,320,-550,-226,Down
137,-44,959,-41,134,45,Down
138,-41,983,-41,134,45,Down
108,-30,927,-41,118,90,Down
117,-38,942,-58,118,45,Down
95,-71,1073,-8,150,135,Down
99,-74,1100,-8,134,90,Down
135,-48,1011,-41,150,90,Down
111,-59,1044,-25,134,90,Down
110,-59,885,-25,36,45,Down
